cnty_fips,county,state,Value,theme_range
2013,Aleutians East,Arkansas,3425,75 - 9055 (644)
2016,Aleutians West,Arkansas,5750,75 - 9055 (644)
2020,Anchorage,Arkansas,296112,91049.1 - 10098052 (644)
2050,Bethel,Arkansas,18040,9055.1 - 19054 (644)
2060,Bristol Bay,Arkansas,890,75 - 9055 (644)
2068,Denali,Arkansas,2232,75 - 9055 (644)
2070,Dillingham,Arkansas,4975,75 - 9055 (644)
2090,Fairbanks North Star,Arkansas,99653,91049.1 - 10098052 (644)
2100,Haines,Arkansas,2518,75 - 9055 (644)
2105,Hoonah-Angoon,Arkansas,2132,75 - 9055 (644)
22017,Caddo,Louisiana,248361,91049.1 - 10098052 (644)
2110,Juneau,Arkansas,32330,19054.1 - 36769 (644)
2122,Kenai Peninsula,Arkansas,58220,36769.1 - 91049 (644)
2130,Ketchikan Gateway,Arkansas,13804,9055.1 - 19054 (644)
2150,Kodiak Island,Arkansas,13649,9055.1 - 19054 (644)
2164,Lake and Peninsula,Arkansas,1375,75 - 9055 (644)
2170,Matanuska-Susitna,Arkansas,103464,91049.1 - 10098052 (644)
2180,Nome,Arkansas,9925,9055.1 - 19054 (644)
2185,North Slope,Arkansas,9797,9055.1 - 19054 (644)
2188,Northwest Arctic,Arkansas,7734,75 - 9055 (644)
2195,Petersburg,Arkansas,3255,75 - 9055 (644)
2198,Prince of Wales-Hyder,Arkansas,6474,75 - 9055 (644)
2220,Sitka,Arkansas,8738,75 - 9055 (644)
2230,Skagway,Arkansas,1061,75 - 9055 (644)
2240,Southeast Fairbanks,Arkansas,6876,75 - 9055 (644)
2261,Valdez-Cordova,Arkansas,9301,9055.1 - 19054 (644)
2158,Kusilvak,Arkansas,8198,75 - 9055 (644)
2275,Wrangell,Arkansas,2484,75 - 9055 (644)
2282,Yakutat,Arkansas,689,75 - 9055 (644)
2290,Yukon-Koyukuk,Arkansas,5415,75 - 9055 (644)
6001,Alameda,California,1643700,91049.1 - 10098052 (644)
6005,Amador,California,37829,36769.1 - 91049 (644)
6007,Butte,California,227075,91049.1 - 10098052 (644)
6009,Calaveras,California,45235,36769.1 - 91049 (644)
6011,Colusa,California,21464,19054.1 - 36769 (644)
6013,Contra Costa,California,1133247,91049.1 - 10098052 (644)
6015,Del Norte,California,27424,19054.1 - 36769 (644)
6017,El Dorado,California,186661,91049.1 - 10098052 (644)
6021,Glenn,California,27897,19054.1 - 36769 (644)
6023,Humboldt,California,135768,91049.1 - 10098052 (644)
6031,Kings,California,150075,91049.1 - 10098052 (644)
6033,Lake,California,64148,36769.1 - 91049 (644)
6035,Lassen,California,31185,19054.1 - 36769 (644)
6041,Marin,California,260295,91049.1 - 10098052 (644)
6043,Mariposa,California,17540,9055.1 - 19054 (644)
6045,Mendocino,California,87422,36769.1 - 91049 (644)
6047,Merced,California,269075,91049.1 - 10098052 (644)
6049,Modoc,California,8938,75 - 9055 (644)
6053,Monterey,California,433212,91049.1 - 10098052 (644)
6055,Napa,California,140530,91049.1 - 10098052 (644)
6057,Nevada,California,99092,91049.1 - 10098052 (644)
6061,Placer,California,380077,91049.1 - 10098052 (644)
6063,Plumas,California,18699,9055.1 - 19054 (644)
6067,Sacramento,California,1510023,91049.1 - 10098052 (644)
6069,San Benito,California,59416,36769.1 - 91049 (644)
6075,San Francisco,California,870044,91049.1 - 10098052 (644)
6077,San Joaquin,California,732212,91049.1 - 10098052 (644)
6079,San Luis Obispo,California,281455,91049.1 - 10098052 (644)
6081,San Mateo,California,765935,91049.1 - 10098052 (644)
6083,Santa Barbara,California,443738,91049.1 - 10098052 (644)
6085,Santa Clara,California,1922200,91049.1 - 10098052 (644)
6087,Santa Cruz,California,273765,91049.1 - 10098052 (644)
6089,Shasta,California,179085,91049.1 - 10098052 (644)
6091,Sierra,California,2930,75 - 9055 (644)
6093,Siskiyou,California,43540,36769.1 - 91049 (644)
6095,Solano,California,438530,91049.1 - 10098052 (644)
6097,Sonoma,California,501317,91049.1 - 10098052 (644)
6099,Stanislaus,California,539301,91049.1 - 10098052 (644)
6101,Sutter,California,95872,91049.1 - 10098052 (644)
6103,Tehama,California,63373,36769.1 - 91049 (644)
6105,Trinity,California,12862,9055.1 - 19054 (644)
6109,Tuolumne,California,53932,36769.1 - 91049 (644)
6113,Yolo,California,214977,91049.1 - 10098052 (644)
6115,Yuba,California,75493,36769.1 - 91049 (644)
15001,Hawaii,Hawaii,197658,91049.1 - 10098052 (644)
15003,Honolulu,Hawaii,987638,91049.1 - 10098052 (644)
15005,Kalawao,Hawaii,75,75 - 9055 (644)
15007,Kauai,Hawaii,71377,36769.1 - 91049 (644)
15009,Maui,Hawaii,165281,91049.1 - 10098052 (644)
41003,Benton,Oregon,89780,36769.1 - 91049 (644)
41005,Clackamas,Oregon,405788,91049.1 - 10098052 (644)
41007,Clatsop,Oregon,38562,36769.1 - 91049 (644)
41009,Columbia,Oregon,50851,36769.1 - 91049 (644)
41011,Coos,Oregon,63308,36769.1 - 91049 (644)
41013,Crook,Oregon,22337,19054.1 - 36769 (644)
41015,Curry,Oregon,22507,19054.1 - 36769 (644)
41017,Deschutes,Oregon,180640,91049.1 - 10098052 (644)
41019,Douglas,Oregon,108323,91049.1 - 10098052 (644)
41021,Gilliam,Oregon,1907,75 - 9055 (644)
41027,Hood River,Oregon,23131,19054.1 - 36769 (644)
41029,Jackson,Oregon,214267,91049.1 - 10098052 (644)
41031,Jefferson,Oregon,23143,19054.1 - 36769 (644)
41033,Josephine,Oregon,85481,36769.1 - 91049 (644)
41035,Klamath,Oregon,66310,36769.1 - 91049 (644)
41037,Lake,Oregon,7843,75 - 9055 (644)
41039,Lane,Oregon,368882,91049.1 - 10098052 (644)
41041,Lincoln,Oregon,47881,36769.1 - 91049 (644)
41043,Linn,Oregon,122870,91049.1 - 10098052 (644)
41047,Marion,Oregon,335553,91049.1 - 10098052 (644)
41051,Multnomah,Oregon,798647,91049.1 - 10098052 (644)
41053,Polk,Oregon,81427,36769.1 - 91049 (644)
41055,Sherman,Oregon,1605,75 - 9055 (644)
41057,Tillamook,Oregon,26076,19054.1 - 36769 (644)
41065,Wasco,Oregon,25866,19054.1 - 36769 (644)
41067,Washington,Oregon,581821,91049.1 - 10098052 (644)
41069,Wheeler,Oregon,1426,75 - 9055 (644)
41071,Yamhill,Oregon,103820,91049.1 - 10098052 (644)
53007,Chelan,Washington,75757,36769.1 - 91049 (644)
53009,Clallam,Washington,74487,36769.1 - 91049 (644)
53011,Clark,Washington,465384,91049.1 - 10098052 (644)
53015,Cowlitz,Washington,105112,91049.1 - 10098052 (644)
53027,Grays Harbor,Washington,71967,36769.1 - 91049 (644)
53029,Island,Washington,81636,36769.1 - 91049 (644)
53031,Jefferson,Washington,30856,19054.1 - 36769 (644)
53033,King,Washington,2163257,91049.1 - 10098052 (644)
53035,Kitsap,Washington,262475,91049.1 - 10098052 (644)
